t_s,phase,pos_rad,vel_rad_s,torque_nm,temp_c,kp,cmd_pos,cmd_vel
98.171,disabled,-0.000198,0.022531,-0.012711,40.000,0.000,-0.000049,0.000000
98.671,disabled,-0.000247,0.067450,-0.012711,40.000,0.000,-0.000049,0.000000
99.172,disabled,-0.000099,-0.038492,-0.012711,40.000,0.000,-0.000049,0.000000
99.696,disabled,-0.000148,-0.126813,-0.012711,40.000,0.000,-0.000049,0.000000
100.196,disabled,-0.000198,-0.048141,-0.012711,40.000,0.000,-0.000049,0.000000
100.720,disabled,-0.000099,0.093907,-0.012711,40.000,0.000,-0.000049,0.000000
101.245,disabled,-0.000198,-0.131582,-0.012711,40.000,0.000,-0.000049,0.000000
101.770,disabled,-0.000148,0.073394,-0.012711,40.000,0.000,-0.000049,0.000000
102.295,disabled,-0.000049,0.037217,-0.012711,40.000,0.000,-0.000049,0.000000
102.795,disabled,-0.000148,-0.126589,-0.012711,40.000,0.000,-0.000049,0.000000
103.295,disabled,-0.000297,0.107286,-0.012711,40.000,0.000,-0.000049,0.000000
103.795,disabled,-0.000099,-0.107148,-0.012711,40.000,0.000,-0.000049,0.000000
104.320,disabled,-0.000247,0.027266,-0.012711,40.000,0.000,-0.000049,0.000000
104.845,disabled,-0.000198,0.069325,-0.012711,40.000,0.000,-0.000049,0.000000
105.345,disabled,-0.000148,-0.096566,-0.012711,40.000,0.000,-0.000049,0.000000
105.845,disabled,-0.000148,0.123964,-0.012711,40.000,0.000,-0.000049,0.000000
106.370,disabled,-0.000297,-0.143820,-0.012711,40.000,0.000,-0.000049,0.000000
106.870,disabled,-0.000099,0.199310,-0.012711,40.000,0.000,-0.000049,0.000000
107.395,disabled,-0.000049,0.104769,-0.012711,40.000,0.000,-0.000049,0.000000
107.895,disabled,-0.000148,-0.107828,-0.012711,40.000,0.000,-0.000049,0.000000
108.396,disabled,-0.000247,0.127240,-0.012711,40.000,0.000,-0.000049,0.000000
108.920,disabled,-0.000346,-0.051606,-0.012711,40.000,0.000,-0.000049,0.000000
109.421,disabled,-0.000099,-0.023962,-0.012711,40.000,0.000,-0.000049,0.000000
109.945,disabled,-0.000049,0.002271,-0.012711,40.000,0.000,-0.000049,0.000000
110.445,disabled,-0.000099,-0.018979,-0.012711,40.000,0.000,-0.000049,0.000000
110.945,disabled,-0.000148,-0.044177,-0.012711,40.000,0.000,-0.000049,0.000000
111.470,disabled,-0.000198,0.076909,-0.012711,40.000,0.000,-0.000049,0.000000
111.970,disabled,-0.000148,-0.089268,-0.012711,40.000,0.000,-0.000049,0.000000
112.495,disabled,0.000049,0.005515,-0.012711,40.000,0.000,-0.000049,0.000000
112.996,disabled,-0.000148,0.010391,-0.012711,40.000,0.000,-0.000049,0.000000
